task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/craigslist/sf_computers_basic_filters/2,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/sya"",""task"":""Find computers sold by owners under $800."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/sya?purveyor=owner&max_price=800#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_computers_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_computers_basic_filters/3,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/sya"",""task"":""Find computers where cryptocurrency payment is accepted and images are available."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/sya?crypto_currency_ok=1&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_computers_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_computers_basic_filters/4,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/sya"",""task"":""Search for MacBook computers with images."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/sya?auto_make_model=macbook&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_computers_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_computers_basic_filters/5,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/sya"", ""task"": ""Find computers posted today that include images and review the latest listings."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/sya?hasPic=1&postedToday=1&sort=date#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_computers_basic_filters,medium,None,0,validation,None
navi_bench/craigslist/sf_farm_garden_multiple_filters/0,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/gra"",""task"":""Find bonsai plants for sale with images priced between $50 and $300."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/gra?query=bonsai&hasPic=1&min_price=50&max_price=300#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_farm_garden_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_farm_garden_multiple_filters/1,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/gra"",""task"":""Browse Japanese maple trees sold by owners only, sorted by lowest price."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/gra?query=maple&purveyor=owner&sort=priceasc#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_farm_garden_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_farm_garden_basic_filters/2,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/gra"",""task"":""Find apple trees for sale with images priced between $40 and $200."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/gra?query=apple&hasPic=1&min_price=40&max_price=200#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_farm_garden_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_farm_garden_basic_filters/3,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/gra"",""task"":""Search for garden tools being sold by owners only."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/gra?query=garden%20tools&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_farm_garden_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_farm_garden_basic_filters/4,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/gra"",""task"":""Browse planters with images, sorted by newest listings."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/gra?query=planter&hasPic=1&sort=date#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_farm_garden_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_farm_garden_basic_filters/5,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/gra"",""task"":""Find raised garden beds priced under $250."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/gra?query=raised%20bed&max_price=250#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_farm_garden_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_farm_garden_basic_filters/6,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/gra"", ""task"": ""Find farm and garden items posted today related to bonsai plants."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/gra?query=bonsai&postedToday=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_farm_garden_basic_filters,medium,None,0,validation,None
navi_bench/craigslist/sf_farm_garden_basic_filters/7,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/gra"",""task"":""Browse succulent plants sold by owners only with images."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/gra?query=succulent&purveyor=owner&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_farm_garden_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_furniture_basic_filters/0,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/fua"",""task"":""Find leather sofas with images."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/fua?auto_make_model=leather%20sofa&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_furniture_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_furniture_multiple_filters/1,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/fua"",""task"":""Browse furniture sold by owners priced between $50 and $300, sorted by lowest price."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/fua?purveyor=owner&min_price=50&max_price=300&sort=priceasc#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_furniture_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_furniture_multiple_filters/2,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/fua"",""task"":""Find new-condition furniture where cryptocurrency payment is accepted."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/fua?condition=10&crypto_currency_ok=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_furniture_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_furniture_basic_filters3,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/fua"", ""task"": ""Browse furniture posted today priced between $100 and $600 with images."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/fua?min_price=100&max_price=600&hasPic=1&postedToday=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_furniture_basic_filters,medium,None,0,validation,None
navi_bench/craigslist/sf_heavy_equipment_basic_filters/0,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/hva"",""task"":""Find heavy equipment listings that include images only."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/hva?hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_heavy_equipment_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_heavy_equipment_basic_filters/1,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/hva"",""task"":""Search for track loaders in the heavy equipment category."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/hva?query=track%20loader#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_heavy_equipment_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_heavy_equipment_multiple_filters/2,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/hva"",""task"":""Find excavators priced between $10,000 and $45,000."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/hva?query=excavator&min_price=10000&max_price=45000#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_heavy_equipment_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_heavy_equipment_multiple_filters/3,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/hva"",""task"":""Find forklifts with images only, sorted by lowest price."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/hva?query=forklift&hasPic=1&sort=priceasc#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_heavy_equipment_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_heavy_equipment_basic_filters/4,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/hva"",""task"":""Search for skid steer loaders priced under $30,000."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/hva?query=skid%20steer&max_price=30000#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_heavy_equipment_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_heavy_equipment_multiple_filters/5,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/hva"",""task"":""Find bulldozers under $60,000 that include images."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/hva?query=bulldozer&hasPic=1&max_price=60000#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_heavy_equipment_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_heavy_equipment_multiple_filters/6,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/hva"",""task"":""Search for backhoes priced between $15,000 and $55,000."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/hva?query=backhoe&min_price=15000&max_price=55000#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_heavy_equipment_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_heavy_equipment_basic_filters/7,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/hva"",""task"":""Browse cranes for sale sorted by lowest price."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/hva?query=crane&sort=priceasc#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_heavy_equipment_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_heavy_equipment_basic_filters/8,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/hva"",""task"":""Search for loaders with images only."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/hva?query=loader&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_heavy_equipment_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_heavy_equipment_basic_filters/9,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/hva"",""task"":""Find concrete mixers priced under $20,000."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/hva?query=concrete%20mixer&max_price=20000#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_heavy_equipment_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_jewellery_multiple_filters/0,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/jwa"",""task"":""Find platinum rings sold by owners priced between $1,500 and $4,000."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/jwa?min_price=1500&max_price=4000&purveyor=owner&query=platinum%20ring#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_jewellery_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_jewellery_basic_filters/1,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/jwa"",""task"":""Browse jewellery sold by owners with images, priced under $1,000."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/jwa?purveyor=owner&hasPic=1&max_price=1000#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_jewellery_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_jewellery_multiple_filters/2,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/jwa"",""task"":""Look for brand new luxury watches priced above $3,000 that accept cryptocurrency."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/jwa?condition=10&crypto_currency_ok=1&min_price=3000&query=luxury%20watch#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_jewellery_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_jewellery_multiple_filters/3,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/jwa"",""task"":""Find new jewellery listings that accept cryptocurrency."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/jwa?condition=10&crypto_currency_ok=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_jewellery_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_jewellery_multiple_filters/4,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/jwa"",""task"":""Search for used diamond earrings priced between $500 and $2,500."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/jwa?condition=30&min_price=500&max_price=2500&query=diamond%20earrings#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_jewellery_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_jewellery_multiple_filters/5,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/jwa"", ""task"": ""Find jewellery posted today by owners priced between $500 and $3000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/jwa?max_price=3000&min_price=500&postedToday=1&purveyor=owner#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_jewellery_multiple_filters,hard,None,0,validation,None
navi_bench/craigslist/sf_jewellery_multiple_filters/6,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/jwa"",""task"":""Search for gold necklaces priced between $2,000 and $5,000."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/jwa?min_price=2000&max_price=5000&query=gold%20necklace#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_jewellery_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_jewellery_multiple_filters/7,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/jwa"",""task"":""Find vintage bracelets sold by owners in good or fair condition priced between $400 and $1,800."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/jwa?condition=20&condition=30&purveyor=owner&min_price=400&max_price=1800&query=vintage%20bracelet#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_jewellery_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_motorcycles_basic_filters/0,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/mca"",""task"":""Find used sport bikes with manual transmission."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/mca?condition=20&auto_transmission=1&motorcycle_type=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_motorcycles_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_motorcycles_multiple_filters/1,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/mca"",""task"":""Browse motorcycles with a clean title including cruisers and choppers."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/mca?auto_title_status=1&motorcycle_type=3&motorcycle_type=9#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_motorcycles_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_motorcycles_basic_filters/10,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/mca"",""task"":""Browse both cruiser and sport motorcycles currently for sale."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/mca?motorcycle_type=1&motorcycle_type=3#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_motorcycles_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_motorcycles_basic_filters/2,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/motorcycle-type-sport-bike"",""task"":""Explore sport bikes for sale and summarize options."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/motorcycle-type-sport-bike#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_motorcycles_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_motorcycles_search/3,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/motorcycle-type-chopper"",""task"":""Find motorcycles that include images."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/mca?hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_motorcycles_search,easy,null,0,validation,null
navi_bench/craigslist/sf_motorcycles_basic_filters/4,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/motorcycle-type-cruiser"",""task"":""Find cruiser motorcycles priced under $6,000."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/mca?max_price=6000&motorcycle_type=4#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_motorcycles_basic_filters,medium,null,0,validation,null
